PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,C3,RP,EM,RI,OI,FU,FP,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,DL,D2,EA,PG,WC,WE,SC,GA,PM,OA,HC,HP,DA,UT
J,"Ivanov, A; Getova-Kolarova, V; Belcheva, V; Grigorov, E; Getov, I",,,,"Ivanov, Antonio; Getova-Kolarova, Violeta; Belcheva, Valentina; Grigorov, Evgeni; Getov, Ilko",,,,,,,,,,,,,,,,,"[Ivanov, Antonio; Getova-Kolarova, Violeta; Getov, Ilko] Med Univ Sofia, Fac Pharm, Dept Org & Econ Pharm, Sofia, Bulgaria; [Belcheva, Valentina] Trakia Univ Stara Zagora, Med Coll, Dept Pharmaceut Sci, Stara Zagora, Bulgaria; [Grigorov, Evgeni] Med Univ Prof Dr Paraskev Stoyanov Varna, Fac Pharm, Dept Org & Econ Pharm, 84 Tzar Osvoboditel Str, Varna 9000, Bulgaria",Medical University Sofia; Trakia University; Medical University Varna,"Grigorov, E (corresponding author), Med Univ Prof Dr Paraskev Stoyanov Varna, Fac Pharm, Dept Org & Econ Pharm, 84 Tzar Osvoboditel Str, Varna 9000, Bulgaria.",evgeni.grigorov@mu-varna.bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001252976100001
J,"Stoykova, Z; Todorova, T; Katrandzhieva, T; Kalchev, K; Kostadinova, T",,,,"Stoykova, Zhivka; Todorova, Tatina; Katrandzhieva, Teodora; Kalchev, Kalin; Kostadinova, Tsvetelina",,,,,,,,,,,,,,,,,"[Stoykova, Zhivka; Todorova, Tatina; Katrandzhieva, Teodora; Kostadinova, Tsvetelina] Univ Hosp St Marina, Lab Virol, 1Hristo Smirnenski Blvd, Varna 9010, Bulgaria; [Stoykova, Zhivka; Todorova, Tatina; Katrandzhieva, Teodora] Med Univ Varna, Fac Med, Dept Microbiol & Virol, Varna, Bulgaria; [Kalchev, Kalin] Med Univ Varna, Fac Med, Dept Gen & Clin Pathol, Varna, Bulgaria; [Kostadinova, Tsvetelina] Med Univ Varna, Med Coll, Varna, Bulgaria",Medical University Varna; Medical University Varna; Medical University Varna; Medical University Varna,"Stoykova, Z (corresponding author), Univ Hosp St Marina, Lab Virol, 1Hristo Smirnenski Blvd, Varna 9010, Bulgaria.",jivita77@abv.bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001187070100001
J,"Yahya, D; Hachmeriyan, M; Stoyanova, M; Levkova, M",,,,"Yahya, Dinnar; Hachmeriyan, Mari; Stoyanova, Milena; Levkova, Mariya",,,,,,,,,,,,,,,,,"[Yahya, Dinnar; Hachmeriyan, Mari; Stoyanova, Milena; Levkova, Mariya] Med Univ Varna, Fac Med, Dept Med Genet, Varna 9002, Bulgaria; [Yahya, Dinnar; Hachmeriyan, Mari; Stoyanova, Milena; Levkova, Mariya] UMHAT St Marina, Lab Med Genet, Hristo Smirnenski blv 1, Varna 9000, Bulgaria",Medical University Varna; Medical University Varna,"Yahya, D (corresponding author), Med Univ Varna, Fac Med, Dept Med Genet, Varna 9002, Bulgaria.; Yahya, D (corresponding author), UMHAT St Marina, Lab Med Genet, Hristo Smirnenski blv 1, Varna 9000, Bulgaria.",dinnar.yahya@mu-varna.bg; mari.hachmeryan@mu-varna.bg; milena.stoyanova@mu-varna.bg; mariya.levkova@mu-varna.bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001482368300001
J,"Hoxha, Z; Fries, FN; Hecker, D; Seitz, B; Käsmann-Kellner, B; Náray, A; Lagali, N; Grupcheva, C; Szentmáry, N; Stachon, T",,,,"Hoxha, Zamira; Fries, Fabian Norbert; Hecker, Dietmar; Seitz, Berthold; Kaesmann-Kellner, Barbara; Naray, Annamaria; Lagali, Neil; Grupcheva, Christina; Szentmary, Nora; Stachon, Tanja",,,,,,,,,,,,,,,,,"[Hoxha, Zamira; Fries, Fabian Norbert; Szentmary, Nora; Stachon, Tanja] Saarland Univ, Dr Rolf M Schwiete Ctr Limbal Stem Cell & Congeni, Saarbrucken, Germany; [Hoxha, Zamira; Fries, Fabian Norbert; Seitz, Berthold] Saarland Univ, Dept Ophthalmol, Med Ctr, Homburg Saar, Germany; [Hoxha, Zamira; Fries, Fabian Norbert; Seitz, Berthold] Saarland Univ, Fac Med, Med Ctr, Homburg Saar, Germany; [Hecker, Dietmar] Saarland Univ, Med Ctr, Dept Expt Audiol Neurootol, Homburg Saar, Germany; [Hecker, Dietmar] Saarland Univ, Fac Med, Med Ctr, Homburg Saar, Germany; [Kaesmann-Kellner, Barbara] Saarland Univ, Dept Ophthalmol, Kinderophthalmol Orthopt Low Vis & Neuroophthalmo, Med Ctr, Homburg Saar, Germany; [Naray, Annamaria] Semmelweis Univ, Dept Ophthalmol, Budapest, Hungary; [Lagali, Neil] Linkoping Univ, Dept Biomed & Clin Sci, Linkoping, Sweden; [Grupcheva, Christina] Varna Med Univ, Dept Ophthalmol & Visual Sci, Varna, Bulgaria",Saarland University; Semmelweis University; Linkoping University; Medical University Varna,"Hoxha, Z (corresponding author), Saarland Univ, Dr Rolf M Schwiete Ctr Limbal Stem Cell & Congeni, Kirrberger Str 100, D-66421 Homburg Saar, Germany.",zamira-hoxha@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001380661100001
J,"Kornovski, YD; Ivanova, YI; Kostov, SG; Slavchev, SH; Mitkov, DM; Yordanov, AD",,,,"Kornovski, Yavor Dimitrov; Ivanova, Yonka Ivanova; Kostov, Stoyan Georgiev; Slavchev, Stanislav Hristov; Mitkov, Dimitar Metodiev; Yordanov, Angel Danchev",,,,,,,,,,,,,,,,,"[Kornovski, Yavor Dimitrov; Ivanova, Yonka Ivanova; Kostov, Stoyan Georgiev; Slavchev, Stanislav Hristov] Med Univ Prof Dr Paraskev Stoyanov, Hosp St Anna, Dept Gynecol, Varna 9002, Bulgaria; [Kostov, Stoyan Georgiev] Med Univ Pleven, Res Inst, Pleven 5800, Bulgaria; [Mitkov, Dimitar Metodiev] MHAT Nadezda Womens Hlth Hosp, Clin Pathol Lab, Sofia 1373, Bulgaria; [Mitkov, Dimitar Metodiev] Univ Hosp St Ivan Rilski, Neuropathol Lab, Sofia 1431, Bulgaria; [Yordanov, Angel Danchev] Med Univ Pleven, Dept Gynecol Oncol, Pleven 5800, Bulgaria",Medical University Varna; Medical University Pleven; Medical University Sofia; Medical University Pleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001444796400013
J,"Kostov, SG; Kornovski, YD; Slavchev, SH; Ivanova, YI; Yordanov, AD",,,,"Kostov, Stoyan Georgiev; Kornovski, Yavor Dimitrov; Slavchev, Stanislav Hristov; Ivanova, Yonka Ivanova; Yordanov, Angel Danchev",,,,,,,,,,,,,,,,,"[Kostov, Stoyan Georgiev] Med Univ Pleven, Res Inst, Pleven 5800, Bulgaria; [Kostov, Stoyan Georgiev; Kornovski, Yavor Dimitrov; Slavchev, Stanislav Hristov; Ivanova, Yonka Ivanova] Med Univ Prof Dr Paraskev Stoyanov, Hosp St Anna, Dept Gynecol, Varna 9002, Bulgaria; [Yordanov, Angel Danchev] Med Univ Pleven, Dept Gynecol Oncol, Pleven 5800, Bulgaria",Medical University Pleven; Medical University Varna; Medical University Pleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001444859300037
J,"Pancheva, R; Illiodromiti, Z; Moschonis, G; Kontopodi, E; Karapati, E; Nicolaou, N; Karaglani, E; Sekkidou, M; Popova, S; Usheva, N; Marinova, M; Xepapadaki, P; Sardeli, O; Kapetanaki, A; Iacovidou, N; Boutsikou, T; Papathoma, E; Manios, Y",,,,"Pancheva, Rouzha; Illiodromiti, Zoi; Moschonis, George; Kontopodi, Eva; Karapati, Eleni; Nicolaou, Nicolaos; Karaglani, Eva; Sekkidou, Mikaela; Popova, Simoneta; Usheva, Nataliya; Marinova, Miglena; Xepapadaki, Paraskevi; Sardeli, Olympia; Kapetanaki, Anastasia; Iacovidou, Nicoletta; Boutsikou, Theodora; Papathoma, Evangelia; Manios, Yannis",,,,,,,,,,,,,,,,,"[Pancheva, Rouzha; Popova, Simoneta; Marinova, Miglena] Prof Dr Paraskev Stoyanov Med Univ Varna, Fac Publ Hlth, Dept Hyg & Epidemiol, Varna, Bulgaria; [Pancheva, Rouzha; Usheva, Nataliya] Med Univ Prof Dr Paraskev Stoyanov Varna, Res Inst, Dept Neurosci, Res Grp NutriLect, Varna, Bulgaria; [Illiodromiti, Zoi; Karapati, Eleni] Natl & Kapodistrian Univ Athens, Aretaieio Hosp, Med Sch, Neonatal Dept, Athens, Greece; [Moschonis, George] La Trobe Univ, Sch Allied Hlth Human Serv & Sport, Dept Sport Exercise & Nutr Sci, Discipline Food Nutr & Dietet, Melbourne, Vic, Australia; [Kontopodi, Eva] FrieslandCampina, Amersfoort, Netherlands; [Nicolaou, Nicolaos; Sekkidou, Mikaela] Univ Nicosia, Med Sch, Nicosia, Cyprus; [Nicolaou, Nicolaos; Sekkidou, Mikaela] N Asthma & Allergy Ctr, Limassol, Cyprus; [Karaglani, Eva; Manios, Yannis] Harokopio Univ, Sch Hlth Sci & Educ, Dept Nutr & Dietet, Athens, Greece; [Usheva, Nataliya] Med Univ Prof Dr Paraskev Stoyanov Varna, Fac Publ Hlth, Dept Social Med & Healthcare Org, Varna, Bulgaria; [Xepapadaki, Paraskevi] Natl & Kapodistrian Univ Athens, Allergy Dept, Pediat Clin 2, Athens, Greece; [Sardeli, Olympia] Natl & Kapodistrian Univ Athens, Attikon Gen Univ Hosp, Dept Pediat 3, Athens, Greece; [Kapetanaki, Anastasia] Helena Venizelou Hosp, Dept Microbiol, Athens, Greece; [Iacovidou, Nicoletta; Boutsikou, Theodora] Natl & Kapodistrian Univ Athens, Aretaieio Hosp, Neonatal Dept, Athens, Greece; [Papathoma, Evangelia] Alexandra Univ & State Matern Hosp, Neonatal Intens Care Unit, Athens, Greece; [Manios, Yannis] Hellen Mediterranean Univ, Res Ctr Inst Agrifood & Life Sci, Iraklion, Greece",Medical University Varna; Medical University Varna; National & Kapodistrian University of Athens; La Trobe University; University of Nicosia; Harokopio University Athens; Medical University Varna; National & Kapodistrian University of Athens; National & Kapodistrian University of Athens; University Hospital Attikon; National & Kapodistrian University of Athens; Hellenic Mediterranean University,"Pancheva, R (corresponding author), Prof Dr Paraskev Stoyanov Med Univ Varna, Fac Publ Hlth, Dept Hyg & Epidemiol, Varna, Bulgaria.",rouzha.pancheva@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001389458700001
J,"Kornovski, YD; Ivanova, YI; Kostov, SG; Slavchev, SH; Mitkov, DM; Yordanov, AD",,,,"Kornovski, Yavor Dimitrov; Ivanova, Yonka Ivanova; Kostov, Stoyan Georgiev; Slavchev, Stanislav Hristov; Mitkov, Dimitar Metodiev; Yordanov, Angel Danchev",,,,,,,,,,,,,,,,,"[Kornovski, Yavor Dimitrov; Ivanova, Yonka Ivanova; Kostov, Stoyan Georgiev; Slavchev, Stanislav Hristov] Med Univ Prof Dr Paraskev Stoyanov, Hosp St Anna, Dept Gynecol, Varna 9002, Bulgaria; [Kostov, Stoyan Georgiev] Med Univ Pleven, Res Inst, Pleven 5800, Bulgaria; [Mitkov, Dimitar Metodiev] MHAT Nadezda Womens Hlth Hosp, Clin Pathol Lab, Sofia 1373, Bulgaria; [Mitkov, Dimitar Metodiev] Univ Hosp St Ivan Rilski, Neuropathol Lab, Varna 1431, Bulgaria; [Yordanov, Angel Danchev] Med Univ Pleven, Dept Gynecol Oncol, Pleven 5800, Bulgaria",Medical University Varna; Medical University Pleven; Medical University Pleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001444796400027
J,"Kostov, S; Grigorova, D; Kornovski, Y; Ivanova, Y; Slavchev, S; Hasan, I; Watrowski, R; Slaveva, M; Mitkov, D; Yordanov, A",,,,"Kostov, Stoyan; Grigorova, Denitsa; Kornovski, Yavor; Ivanova, Yonka; Slavchev, Stanislav; Hasan, Ihsan; Watrowski, Rafal; Slaveva, Mariela; Mitkov, Dimitar; Yordanov, Angel",,,,,,,,,,,,,,,,,"[Kostov, Stoyan; Slaveva, Mariela] Med Univ Pleven, Res Inst, Pleven 5800, Bulgaria; [Kostov, Stoyan; Kornovski, Yavor; Ivanova, Yonka; Slavchev, Stanislav] Med Univ Prof Dr Paraskev Stoyanov, Hosp St Anna, Dept Gynecol, Varna 9002, Bulgaria; [Grigorova, Denitsa] Sofia Univ, Fac Math & Informat, Dept Probabil Operat Res & Stat, Sofia, Bulgaria; [Hasan, Ihsan] Univ Hosp Sofiamed, Dept Obstet & Gynecol, Sofia, Bulgaria; [Watrowski, Rafal] Helios Hosp Mullheim, Dept Obstet & Gynecol, D-79379 Mullheim, Germany; [Watrowski, Rafal] Univ Freiburg, Med Ctr, D-79106 Freiburg, Germany; [Slaveva, Mariela] Shterev Hosp, Dept Breast Surg, Sofia, Bulgaria; [Mitkov, Dimitar] MHAT Nadezda Womens Hlth Hosp, Clin Pathol Lab, Sofia 1373, Bulgaria; [Mitkov, Dimitar] Univ Hosp St Ivan Rilski, Neuropathol Lab, Sofia 1431, Bulgaria; [Yordanov, Angel] Med Univ Pleven, Dept Gynecol Oncol, Pleven 5800, Bulgaria",Medical University Pleven; Medical University Varna; University of Sofia; Medical University Sofia; University of Freiburg; Medical University Sofia; Medical University Pleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001444808900022
J,"Kostov, SG; Kornovski, YD; Slavchev, SH; Ivanova, YI; Yordanov, AD",,,,"Kostov, Stoyan Georgiev; Kornovski, Yavor Dimitrov; Slavchev, Stanislav Hristov; Ivanova, Yonka Ivanova; Yordanov, Angel Danchev",,,,,,,,,,,,,,,,,"[Kostov, Stoyan Georgiev] Med Univ Pleven, Res Inst, Pleven 5800, Bulgaria; [Kostov, Stoyan Georgiev; Kornovski, Yavor Dimitrov; Slavchev, Stanislav Hristov; Ivanova, Yonka Ivanova] Med Univ Prof Dr Paraskev Stoyanov, Hosp St Anna, Dept Gynecol, Varna 9002, Bulgaria; [Yordanov, Angel Danchev] Med Univ Pleven, Dept Gynecol Oncol, Pleven 5800, Bulgaria",Medical University Pleven; Medical University Varna; Medical University Pleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOS:001444859300013
